Disease,NEVER DO
Alcoholic hepatitis,"🚫 Avoid consuming alcohol and hepatotoxic substances.
🚫 Do not skip prescribed medications or treatments.
🚫 Avoid consuming fatty or processed foods.
🚫 Do not ignore symptoms of worsening liver function.
🚫 Avoid exposure to infectious agents like hepatitis viruses."
Tuberculosis,"🚫 Avoid close contact with others to prevent spreading the infection.
🚫 Do not skip prescribed antibiotics and treatments.
🚫 Avoid smoking and exposure to lung irritants.
🚫 Do not ignore symptoms of tuberculosis.
🚫 Avoid consuming alcohol and hepatotoxic substances."
Common Cold,"🚫 Avoid close contact with others to prevent spreading the infection.
🚫 Do not skip rest and hydration.
🚫 Avoid consuming cold or sugary foods that can worsen symptoms.
🚫 Do not ignore symptoms that persist for more than a week.
🚫 Avoid smoking and exposure to lung irritants."
Pneumonia,"🚫 Avoid smoking and exposure to lung irritants.
🚫 Do not skip prescribed antibiotics and treatments.
🚫 Avoid close contact with others to prevent spreading the infection.
🚫 Do not ignore symptoms of pneumonia.
🚫 Avoid strenuous activities until fully recovered."
Dimorphic hemmorhoids(piles),"🚫 Do not ignore symptoms, seek medical advice."
Heart attack,"🚫 Avoid smoking and exposure to secondhand smoke.
🚫 Do not skip prescribed heart medications.
🚫 Avoid consuming high-fat and high-sodium foods.
🚫 Do not ignore chest pain or symptoms of another heart attack.
🚫 Avoid strenuous activities without medical clearance."
Varicose veins,"🚫 Avoid standing or sitting for prolonged periods without movement.
🚫 Do not ignore symptoms like swelling and pain.
🚫 Avoid wearing tight clothing that restricts blood flow.
🚫 Do not skip prescribed treatments or compression therapy.
🚫 Avoid high-impact exercises without medical advice."
Hypothyroidism,"🚫 Avoid skipping prescribed thyroid medications.
🚫 Do not ignore symptoms like fatigue and weight gain.
🚫 Avoid consuming high-sugar and low-fiber foods.
🚫 Do not skip regular thyroid function tests.
🚫 Avoid excessive iodine intake without medical advice."
Hyperthyroidism,"🚫 Avoid skipping prescribed antithyroid medications.
🚫 Do not ignore symptoms like rapid heartbeat and weight loss.
🚫 Avoid consuming high-caffeine and high-sugar foods.
🚫 Do not skip regular thyroid function tests.
🚫 Avoid strenuous activities without medical clearance."
Hypoglycemia,"🚫 Avoid skipping meals or delaying eating.
🚫 Do not ignore symptoms like dizziness and confusion.
🚫 Avoid consuming high-sugar foods and beverages.
🚫 Do not skip prescribed diabetes medications or insulin.
🚫 Avoid excessive alcohol consumption."
Osteoarthristis,🚫 Avoid consuming excessive junk food.
Arthritis,"🚫 Avoid high-impact exercises that put stress on joints.
🚫 Do not ignore symptoms like joint pain and swelling.
🚫 Avoid prolonged inactivity or sedentary lifestyle.
🚫 Do not skip prescribed treatments and physical therapy.
🚫 Avoid carrying heavy loads without proper support."
(vertigo) Paroymsal Positional Vertigo,🚫 Do not self-medicate without a doctor's prescription.
Acne,"🚫 Avoid picking or squeezing pimples.
🚫 Do not use harsh or abrasive skincare products.
🚫 Avoid consuming high-sugar and high-fat foods.
🚫 Do not skip prescribed acne treatments.
🚫 Avoid excessive sun exposure without protection."
Urinary tract infection,"🚫 Avoid consuming irritants like caffeine, alcohol, and spicy foods.
🚫 Do not ignore symptoms like burning sensation and frequent urination.
🚫 Avoid holding urine for prolonged periods.
🚫 Do not skip prescribed antibiotics and treatments.
🚫 Avoid using harsh soaps or feminine hygiene sprays."
Psoriasis,"🚫 Avoid scratching or picking at plaques.
🚫 Do not use harsh or irritating skincare products.
🚫 Avoid consuming alcohol and smoking.
🚫 Do not skip prescribed psoriasis treatments.
🚫 Avoid excessive stress and manage triggers."
Impetigo,"🚫 Avoid scratching or touching infected areas.
🚫 Do not share personal items like towels and clothing.
🚫 Avoid close contact with others to prevent spreading the infection.
🚫 Do not skip prescribed antibiotics and treatments.
🚫 Avoid covering the infection with tight bandages or clothing."
